brand_url,types,name,rating,price,location,ships,description,planet,people,animals,explanation,updated,updated_month,updated_year
https://directory.goodonyou.eco/brand/bleed,"activewear, tops, denim, knitwear, swimwear",bleed,Great,$$,Germany,Worldwide,Bleed is a German brand driven by a sustainable lifestyle and a shared love of sport.,5,4,5,"bleed's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It reuses its offcuts to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.  Its labour rating is 'good'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It traces most of its supply chain. It ensures payment of a living wage in most of its supply chain, however it does not specify a percentage. It audits most of its supply chain.  Its animal rating is 'great'. It states that its entire product range is vegan.  bleed is rated 'Great' based on information from our own research.",June 2020,June,2020
https://directory.goodonyou.eco/brand/bhumi,"activewear, tops",Bhumi,Great,$$,Australia,Worldwide,"Bhumi believes in sustainable luxury, paving the way for a new era in the textile industry by choosing fairtrade organic cotton for all of products.",5,5,5,Bhumi's environment rating is 'great'. Its products are Global Organic Textile Standard (GOTS) certified. It uses low impact non-toxic dyes in all of its products. Its labour rating is 'great'. Its products are certified by Fairtrade International - Small Producers Organisations. It ensures payment of a living wage throughout its supply chain. It traces all of its supply chain.  Its animal rating is 'great'. It states that its entire product range is vegan.  Bhumi is rated 'Great' based on information from our own research.,June 2020,June,2020
https://directory.goodonyou.eco/brand/dharma-bums,"activewear, tops, plus-size",Dharma Bums,Great,$$,Australia,Worldwide,"Dharma Bums is an ethical yoga and activewear brand providing beautiful, high performance activewear that performs flawlessly.",5,5,5,"Dharma Bums's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It reuses its offcuts to minimise textile waste. Its fabrics are [bluesign] certified. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.  Its labour rating is 'great'. It has a Code of Conduct that covers all of the Business Social Compliance Initiative Code of Conduct - BSCI principles. It traces most of its supply chain. It ensures payment of a living wage in the final stage of production. It audits most of its supply chain.  Its animal rating is 'great'. It states that its entire product range is vegan.  Dharma Bums is rated 'Great' overall.",March 2021,March,2021
https://directory.goodonyou.eco/brand/nube,activewear,Nube,Great,$$,United States,Worldwide,Nube makes activewear inspired by the environmental crises with leggings and tops made from recycled waste.,5,4,null,"Nube's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It uses low impact non-toxic dyes in all its products. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of water and wastewater used in production.  Its labour rating is 'good'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It visits its suppliers regularly.  This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.  Nube is rated 'Good' based on information from our own research.",February 2020,February,2020
https://directory.goodonyou.eco/brand/paapii-design,"activewear, tops, dresses, knitwear",PaaPii Design,Great,$,Finland,Worldwide,"PaaPii Design makes all its clothes out of certified organic cotton in their own sewing factory in Kokkola, Finland using solar power.",5,4,4,"PaaPii Design's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It uses renewable energy in its manufacturing to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.  Its labour rating is 'good'. Its final stage of production is undertaken in Finland, a low risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces most of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain.  Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It states that it sources wool from non-mulesed sheep.  PaaPii Design is rated 'Great' overall.",April 2021,April,2021
https://directory.goodonyou.eco/brand/living-crafts,"activewear, tops, denim, dresses, knitwear, sleepwear, shoes",Living Crafts,Great,$$,Germany,Worldwide,"Living Crafts is an organic textile company from Germany that creates its products from certified organic cotton, organic Merino wool, organic wool and mulberry silk blend, and organic cotton and bamboo blend.",5,4,4,"Living Crafts's environment rating is 'great'. It uses a high proportion of eco-friendly materials. It uses renewable energy in its supply chain to reduce its climate impact. It uses low impact non-toxic dyes in all of its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.  Its labour rating is 'good'. It monitors health and safety issues with an internal procedure. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces all of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It states that it sources wool from non-mulesed sheep.  Living Crafts is rated 'Great' overall.",August 2020,August,2020
https://directory.goodonyou.eco/brand/girlfriend-collective,"activewear, tops, maternity, plus-size",Girlfriend Collective,Great,$$,United States,Worldwide,Girlfriend Collective is an American activewear brand that makes its essential and timeless pieces out of recycled materials.,4,5,null,"Girlfriend Collective's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including recycled materials. It reuses some of its offcuts to minimise textile waste. It ensures wastewater in its supply chain is treated and discharged properly. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.  Its labour rating is 'great'. Its factory is certified by Social Accountability International - SA8000. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It monitors health and safety issues through a third party audit of its final stage of production. It ensures payment of a living wage in the final stage of production. It traces most of its supply chain. This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.  Girlfriend Collective is rated 'Great' based on information from our own research.",June 2020,June,2020
https://directory.goodonyou.eco/brand/organic-basics,"activewear, tops, denim",Organic Basics,Great,$$,Denmark,Worldwide,"Organic Basics is an underwear, activewear and essentials brand made in Europe.",5,4,4,"Organic Basics's environment rating is 'great'. It uses a high proportion of eco-friendly materials including organic cotton. It uses renewable energy in its supply chain to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.  Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces most of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. It audits or visits most of its suppliers.  Its animal rating is 'good'. It does not use fur, leather, down or exotic animal skin. It uses recycled wool and exotic animal hair.  Organic Basics is rated 'Great' based on information from our own research.",June 2020,June,2020
https://directory.goodonyou.eco/brand/elle-evans,"activewear, tops, swimwear",Elle Evans,Great,$$,Australia,Worldwide,Elle Evans creates sustainable swimwear for people who care about fashion and the future,5,4,null,"Elle Evans' environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It reuses all of its offcuts to minimise textile waste. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.  Its labour rating is 'good'. Its final stage of production is undertaken in Australia, a low risk country for labour abuse. It traces all of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. It visits its suppliers regularly.  This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.  Elle Evans is rated 'Great' based on information from our own research.",March 2020,March,2020
https://directory.goodonyou.eco/brand/casagin,"activewear, tops, swimwear",CasaGIN,Good,$$,Italy,Worldwide,"CasaGIN is a positive place, designed for those looking for a sustainable and conscious lifestyle where you can find products capable of conveying well-being and harmony.",5,4,null,"CasaGIN's environment rating is 'great'. It uses a high proportion of eco-friendly materials. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its final stage of production is undertaken in Italy, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It publicly lists suppliers from the final stage of production. There is no evidence it ensures payment of a living wage in its supply chain. It visits its suppliers regularly. This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only. CasaGIN is rated 'Good' overall.",October 2020,October,2020
